at_date,product_id,version,name,release_date,link
2020-12-24,kubernetes/kubernetes,v1.17.0-rc.2,v1.17.0-rc.2,2019-12-03 16:08:51,https://github.com/kubernetes/kubernetes/releases/tag/v1.17.0-rc.2
2020-12-24,kubernetes/kubernetes,v1.17.0-rc.1,v1.17.0-rc.1,2019-11-22 19:19:40,https://github.com/kubernetes/kubernetes/releases/tag/v1.17.0-rc.1
2020-12-24,kubernetes/kubernetes,v1.17.0-beta.2,v1.17.0-beta.2,2019-11-18 17:53:59,https://github.com/kubernetes/kubernetes/releases/tag/v1.17.0-beta.2
2020-12-24,kubernetes/kubernetes,v1.16.3,v1.16.3,2019-11-13 18:42:39,https://github.com/kubernetes/kubernetes/releases/tag/v1.16.3
2020-12-24,kubernetes/kubernetes,v1.14.9,v1.14.9,2019-11-13 18:18:35,https://github.com/kubernetes/kubernetes/releases/tag/v1.14.9
2020-12-24,kubernetes/kubernetes,v1.15.6,v1.15.6,2019-11-13 18:13:24,https://github.com/kubernetes/kubernetes/releases/tag/v1.15.6
2020-12-24,kubernetes/kubernetes,v1.17.0-beta.1,v1.17.0-beta.1,2019-11-05 17:10:09,https://github.com/kubernetes/kubernetes/releases/tag/v1.17.0-beta.1
2020-12-24,kubernetes/kubernetes,v1.17.0-alpha.3,v1.17.0-alpha.3,2019-10-22 18:27:01,https://github.com/kubernetes/kubernetes/releases/tag/v1.17.0-alpha.3
2020-12-24,kubernetes/kubernetes,v1.15.5,v1.15.5,2019-10-15 21:18:16,https://github.com/kubernetes/kubernetes/releases/tag/v1.15.5
2020-12-24,kubernetes/kubernetes,v1.16.2,v1.16.2,2019-10-15 21:13:30,https://github.com/kubernetes/kubernetes/releases/tag/v1.16.2
2020-12-24,kubernetes/kubernetes,v1.13.12,v1.13.12,2019-10-15 18:06:16,https://github.com/kubernetes/kubernetes/releases/tag/v1.13.12
2020-12-24,kubernetes/kubernetes,v1.14.8,v1.14.8,2019-10-15 17:51:41,https://github.com/kubernetes/kubernetes/releases/tag/v1.14.8
2020-12-24,kubernetes/kubernetes,v1.17.0-alpha.2,v1.17.0-alpha.2,2019-10-15 10:54:12,https://github.com/kubernetes/kubernetes/releases/tag/v1.17.0-alpha.2
2020-12-24,kubernetes/kubernetes,v1.17.0-alpha.1,v1.17.0-alpha.1,2019-10-03 00:15:06,https://github.com/kubernetes/kubernetes/releases/tag/v1.17.0-alpha.1
2020-12-24,kubernetes/kubernetes,v1.16.1,v1.16.1,2019-10-02 21:15:05,https://github.com/kubernetes/kubernetes/releases/tag/v1.16.1
2020-12-24,dagster-io/dagster,0.9.22.post0,0.9.22.post0,2020-12-11 04:26:56,https://github.com/dagster-io/dagster/releases/tag/0.9.22.post0
2020-12-24,dagster-io/dagster,0.9.22,0.9.22,2020-12-11 02:27:57,https://github.com/dagster-io/dagster/releases/tag/0.9.22
2020-12-24,dagster-io/dagster,0.9.22.pre1,,2020-12-11 02:12:06,https://github.com/dagster-io/dagster/releases/tag/0.9.22.pre1
2020-12-24,dagster-io/dagster,0.9.22.pre0,0.9.22.pre0,2020-12-11 02:01:10,https://github.com/dagster-io/dagster/releases/tag/0.9.22.pre0
2020-12-24,dagster-io/dagster,0.9.21,,2020-12-03 23:23:27,https://github.com/dagster-io/dagster/releases/tag/0.9.21
2020-12-24,dagster-io/dagster,0.9.21.pre0,,2020-12-03 22:30:11,https://github.com/dagster-io/dagster/releases/tag/0.9.21.pre0
2020-12-24,dagster-io/dagster,0.9.20,,2020-11-19 23:17:39,https://github.com/dagster-io/dagster/releases/tag/0.9.20
2020-12-24,dagster-io/dagster,0.9.20.pre0,,2020-11-19 22:35:26,https://github.com/dagster-io/dagster/releases/tag/0.9.20.pre0
2020-12-24,dagster-io/dagster,0.9.19.pre0,,2020-11-13 00:54:29,https://github.com/dagster-io/dagster/releases/tag/0.9.19.pre0
2020-12-24,dagster-io/dagster,0.9.19,,2020-11-13 00:51:30,https://github.com/dagster-io/dagster/releases/tag/0.9.19
2020-12-24,dagster-io/dagster,0.9.18.pre0,,2020-11-05 22:33:21,https://github.com/dagster-io/dagster/releases/tag/0.9.18.pre0
2020-12-24,dagster-io/dagster,0.9.18,,2020-11-05 22:32:49,https://github.com/dagster-io/dagster/releases/tag/0.9.18
2020-12-24,dagster-io/dagster,0.9.17,,2020-10-29 22:20:28,https://github.com/dagster-io/dagster/releases/tag/0.9.17
2020-12-24,dagster-io/dagster,0.9.16,,2020-10-22 23:58:58,https://github.com/dagster-io/dagster/releases/tag/0.9.16
2020-12-24,dagster-io/dagster,0.9.15,0.9.15,2020-10-15 22:33:21,https://github.com/dagster-io/dagster/releases/tag/0.9.15
2020-12-24,dagster-io/dagster,0.9.14,,2020-10-08 20:59:03,https://github.com/dagster-io/dagster/releases/tag/0.9.14
2020-12-24,dagster-io/dagster,0.9.12,0.9.12,2020-10-01 20:20:07,https://github.com/dagster-io/dagster/releases/tag/0.9.12
2020-12-24,dagster-io/dagster,0.9.11,,2020-09-25 00:06:00,https://github.com/dagster-io/dagster/releases/tag/0.9.11
2020-12-24,dagster-io/dagster,0.9.9,0.9.9,2020-09-17 21:41:13,https://github.com/dagster-io/dagster/releases/tag/0.9.9
2020-12-24,dagster-io/dagster,0.9.8,0.9.8,2020-09-16 00:31:57,https://github.com/dagster-io/dagster/releases/tag/0.9.8
2020-12-24,dagster-io/dagster,0.9.7,0.9.7,2020-09-11 23:45:11,https://github.com/dagster-io/dagster/releases/tag/0.9.7
2020-12-24,dagster-io/dagster,0.9.6,0.9.6,2020-09-10 23:48:42,https://github.com/dagster-io/dagster/releases/tag/0.9.6
2020-12-24,dagster-io/dagster,0.9.5,,2020-09-03 23:59:41,https://github.com/dagster-io/dagster/releases/tag/0.9.5
2020-12-24,dagster-io/dagster,0.9.4,0.9.4,2020-08-27 23:57:53,https://github.com/dagster-io/dagster/releases/tag/0.9.4
2020-12-24,dagster-io/dagster,0.9.3,,2020-08-21 14:50:06,https://github.com/dagster-io/dagster/releases/tag/0.9.3
2020-12-24,dagster-io/dagster,0.9.2,0.9.2,2020-08-13 23:13:55,https://github.com/dagster-io/dagster/releases/tag/0.9.2
